fixture_id,data,casa,ospite,gol_casa,gol_ospite,xg_casa,xg_ospite,corner_casa,corner_ospite,ammonizioni_casa,ammonizioni_ospite,possesso_casa,possesso_ospite,tiri_in_porta_casa,tiri_in_porta_ospite,tiri_fuori_casa,tiri_fuori_ospite,attacchi_casa,attacchi_ospite,attacchi_pericolosi_casa,attacchi_pericolosi_ospite,storico_casa,storico_ospite
614190375,2026-08-22T16:30:00+00:00,Inter Milan,Monza,4,1,1.5385,1.21666,3,3,2,2,71,29,5,3,8,4,97,73,38,26,0,0
913800771,2026-08-22T16:30:00+00:00,Udinese,Como,1,1,2.12071,2.38585,1,10,3,0,41,59,3,6,13,13,97,97,42,41,0,0
538148592,2026-08-22T18:45:00+00:00,Genoa,Napoli,0,2,0.500846,1.15739,5,5,0,1,45,55,2,4,9,9,87,93,40,63,0,0
3378885940,2026-08-22T18:45:00+00:00,Parma,Cagliari,0,1,1.02972,1.2574,3,2,0,2,47,53,2,5,10,9,85,95,33,45,0,0
1617470579,2026-08-23T16:30:00+00:00,Frosinone,Juventus,0,1,0.365497,2.61714,3,12,2,2,39,61,2,5,9,15,79,89,34,60,0,0
2037780468,2026-08-23T16:30:00+00:00,Venezia,Lecce,0,2,3.19474,2.45246,5,3,1,3,71,29,7,5,12,7,145,77,61,29,0,0
107481372,2026-08-23T18:45:00+00:00,Atalanta,Sassuolo,2,1,0.922815,2.70103,4,4,0,0,56,44,7,8,7,14,90,87,31,45,0,0
12737910,2026-08-23T18:45:00+00:00,Torino,AC Milan,1,2,1.13035,1.74146,2,4,0,1,41,59,1,4,7,15,80,96,33,51,0,0
3642869112,2026-08-24T16:30:00+00:00,Bologna,Lazio,0,1,2.0643,0.805148,8,6,4,4,59,41,5,3,8,7,70,76,30,25,0,0
1662374074,2026-08-24T18:45:00+00:00,Roma,Fiorentina,4,0,3.77522,0.287976,2,3,2,2,60,40,8,4,8,5,103,95,59,36,0,0
1259018568,2026-08-28T18:45:00+00:00,AC Milan,Venezia,2,0,3.21774,0.521597,2,3,1,3,58,42,5,2,11,7,92,99,46,34,1,1
3435158060,2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0,3,1.8162,1.95272,8,5,3,3,60,40,4,6,21,6,114,74,62,50,1,1
2871918883,2026-08-29T16:30:00+00:00,Monza,Udinese,2,3,1.89797,1.02273,3,3,1,0,51,49,5,5,9,7,99,97,45,27,1,1
2813090940,2026-08-29T16:30:00+00:00,Sassuolo,Torino,2,1,1.54523,1.50213,4,3,3,1,46,54,7,4,12,6,122,81,67,38,1,1
3083299865,2026-08-29T18:45:00+00:00,Juventus,Parma,2,0,1.82242,0.200754,10,2,2,3,58,42,6,3,15,1,54,34,25,14,1,1
4258594999,2026-08-30T16:30:00+00:00,Napoli,Como,1,2,1.03232,1.0975,2,7,1,0,42,58,2,6,11,15,91,99,60,57,1,1
15000672,2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0,1,0.323326,3.97224,8,6,2,1,35,65,0,7,10,23,80,122,26,54,1,1
3829616573,2026-08-30T18:45:00+00:00,Lazio,Genoa,1,0,2.11324,0.743486,4,2,1,2,46,54,2,1,13,7,92,88,50,32,1,1
805553114,2026-08-31T16:30:00+00:00,Lecce,Roma,0,4,1.20256,4.13617,2,1,1,1,35,65,3,8,4,7,80,136,31,62,1,1
12786688,2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,0.176344,1.23523,1,2,1,0,42,58,2,3,4,13,99,98,30,33,1,1
2102295098,2026-09-04T18:45:00+00:00,Genoa,Como,1,4,0.920577,2.00713,5,4,2,1,38,62,2,9,9,11,69,106,24,62,2,2
3669650711,2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,1.35877,0.771751,3,5,0,0,39,61,6,4,8,3,92,121,43,49,2,2
2186395753,2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,3.7848,2.32276,10,5,1,2,63,37,8,7,21,9,117,73,91,34,2,2
2592405823,2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,3.54086,0.772123,14,1,0,1,67,33,10,2,29,4,119,63,110,19,2,2
1997268971,2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,1.78975,2.43691,5,2,2,4,39,61,7,4,5,11,61,92,37,22,2,2
2923156316,2026-09-06T13:00:00+00:00,Parma,Monza,1,1,0.622609,2.10415,6,3,2,2,46,54,3,5,4,11,51,82,37,42,2,2
566072938,2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,3.00787,1.8411,10,7,3,1,62,38,5,6,16,9,114,58,68,35,2,2
2006664931,2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,1.69177,0.0949898,7,1,1,3,49,51,5,1,9,2,124,81,55,32,2,2
2257907134,2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,1.92177,0.445912,7,5,1,3,42,58,9,3,11,7,93,125,45,40,2,2
2405106168,2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,0.797693,1.97943,2,8,5,1,40,60,6,7,4,12,112,101,31,44,2,2
