data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_attesi,gol_ospite_attesi,storico_casa,storico_ospite
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2,0,2.0417,0.625,1,1
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0,3,0.625,1.375,1,1
2026-08-29T16:30:00+00:00,Monza,Udinese,2,3,1.0417,2.2917,1,1
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2,1,1.4583,1.4583,1,1
2026-08-29T18:45:00+00:00,Juventus,Parma,2,0,1.0417,0.375,1,1
2026-08-30T16:30:00+00:00,Napoli,Como,1,2,1.4583,0.625,1,1
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0,1,1.0417,1.375,1,1
2026-08-30T18:45:00+00:00,Lazio,Genoa,1,0,1.4583,0.375,1,1
2026-08-31T16:30:00+00:00,Lecce,Roma,0,4,0.875,1.375,1,1
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,1.4583,0.625,1,1
2026-09-04T18:45:00+00:00,Genoa,Como,1,4,0.3889,1.5,2,2
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,0.6111,2.2037,2,2
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,1.6852,0.8333,2,2
2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,1.7593,0.5,2,2
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,1.8333,0.2778,2,2
2026-09-06T13:00:00+00:00,Parma,Monza,1,1,0.9444,1.5,2,2
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,0.5,1.1667,2,2
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,0.8333,0.6111,2,2
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,1.0185,0.6481,2,2
2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,0.6111,1.1667,2,2
