data,casa,ospite,gol_casa_reali,gol_ospite_reali,baseline_casa,baseline_ospite,forza_punti_diff,forza_reti_diff,gol_casa_attesi,gol_ospite_attesi
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,3.0,3.0,2.0886,0.5598
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,0.0,-3.0,0.5447,1.8953
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,-1.0,-3.0,0.9305,3.3583
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,0.0,0.0,1.7768,2.1744
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,3.0,2.0,0.6328,0.3133
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,2.0,2.0,1.6524,0.5944
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,0.0,-2.0,1.1603,2.27
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,3.0,3.0,1.5963,0.2551
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,0.0,-2.0,0.9695,1.8363
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,3.0,2.0,1.382,0.622
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,-2.0,-2.0,0.9021,2.3643
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,0.0,-2.5,0.3864,3.163
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,1.5,1.5,1.7801,1.0025
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,0.0,3.0,2.9477,1.0185
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,1.5,3.0,2.1582,0.1773
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,0.0,0.5,1.3957,2.2139
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,-1.5,-1.0,0.8934,2.2336
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,0.0,0.0,1.1757,1.2732
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,0.0,1.0,1.5902,1.3905
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,-1.0,-0.5,1.1517,2.069
