data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,gol_casa_previsti,gol_ospite_previsti
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,1.5934933062789294,0.66361039978694
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,1.4264681464278783,1.0344380955017207
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,1.444765590680035,3.138586959004687
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,2.035266538354726,1.8897894285144108
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,1.0906194854392504,0.025479808204829646
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,1.053972396027867,0.5573660240230955
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,0.37134514315743294,3.7025201500690503
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,1.5812588246670238,0.4266483853562577
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,0.17435014039073848,1.9073617970051682
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,1.6548339605536402,0.4483014887845904
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,0.4903667572405067,1.7456050866539756
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,0.5511484689713033,2.949370095113916
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,1.648223082491509,1.1573694378552932
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,2.882660264330709,1.2488264837295817
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,2.4695987921217126,-0.07143012641851237
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,1.6190707255123131,1.9927436042127251
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,0.966756023371213,2.0997713683813686
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,1.2541722262882993,1.497601703684856
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,1.7705825886691922,1.2713526872143115
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,1.1806242531772013,2.314159939926024
