data,casa,ospite,gol_casa_reali,gol_ospite_reali,baseline_casa,baseline_ospite,possesso_casa,possesso_ospite,gol_casa_attesi,gol_ospite_attesi
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,55.0,59.0,1.7846,0.8285
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,53.0,71.0,1.0165,2.0066
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,41.0,45.0,1.5,0.6429
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,29.0,60.0,0.0,1.4596
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,56.0,59.0,1.4759,0.9206
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,49.5,58.5,0.1619,1.9534
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,50.0,47.5,0.8171,2.3177
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,68.0,48.5,2.4569,0.0866
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,62.5,49.0,2.4903,0.5721
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,39.5,56.5,1.4177,1.1428
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,44.5,40.0,1.3108,1.882
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,58.5,45.0,1.0692,1.1989
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,59.5,58.5,1.1554,1.0858
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,44.0,32.0,1.6661,0.8298
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,45.0,43.5,0.896,1.5694
