data,casa,ospite,gol_casa_reali,gol_ospite_reali,baseline_casa,baseline_ospite,possesso_casa,possesso_ospite,tiri_in_porta_casa,tiri_in_porta_ospite,gol_casa_attesi,gol_ospite_attesi
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,59.0,71.0,4.0,7.0,2.0396,1.9327
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,40.0,39.0,4.0,2.0,0.916,1.5619
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,29.0,41.0,3.0,3.0,0.8278,3.045
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,44.0,41.0,8.0,1.0,1.3306,1.3102
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,61.0,47.0,5.0,2.0,1.5769,0.3506
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,55.0,59.0,4.0,6.0,1.7262,1.3661
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,53.0,71.0,5.0,5.0,0.889,2.4705
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,41.0,45.0,3.0,2.0,1.6011,0.9185
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,29.0,60.0,5.0,8.0,0.4309,2.1922
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,56.0,59.0,7.0,5.0,1.6112,1.0764
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,49.5,58.5,1.5,6.0,0.4016,2.3068
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,50.0,47.5,4.0,2.5,0.8946,2.545
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,68.0,48.5,6.0,3.0,2.315,0.3275
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,62.5,49.0,8.0,4.5,2.3764,0.2801
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,39.5,56.5,4.0,4.5,1.3705,1.0489
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,44.5,40.0,2.5,4.0,1.4405,2.2017
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,58.5,45.0,4.0,7.5,0.9337,1.6528
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,59.5,58.5,5.5,4.5,1.0989,1.0005
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,44.0,32.0,2.5,4.0,1.8533,1.3135
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,45.0,43.5,4.0,2.5,0.862,1.463
