data,casa,ospite,gol_casa_reali,gol_ospite_reali,baseline_casa,baseline_ospite,tiri_in_porta_casa,tiri_in_porta_ospite,gol_casa_attesi,gol_ospite_attesi
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,4.0,7.0,2.1964,1.8138
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,4.0,2.0,0.9502,1.5403
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,3.0,3.0,1.2097,2.8298
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,8.0,1.0,1.7652,1.0355
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,5.0,2.0,1.2537,0.5555
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,4.0,6.0,1.6719,1.4014
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,5.0,5.0,1.3163,1.9708
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,3.0,2.0,1.731,0.8254
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,5.0,8.0,1.1455,2.1121
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,7.0,5.0,1.7711,0.9573
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,1.5,6.0,0.3493,2.3424
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,4.0,2.5,0.8488,2.5742
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,6.0,3.0,1.8584,0.8459
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,8.0,4.5,2.0652,0.4965
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,4.0,4.5,1.9727,0.8313
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,2.5,4.0,1.1225,2.3538
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,4.0,7.5,0.3825,2.2391
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,5.5,4.5,1.0709,1.0185
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,2.5,4.0,1.2023,1.5133
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,4.0,2.5,0.8488,1.4716
