data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_attesi,gol_ospite_attesi,volume_tiri_casa,volume_tiri_ospite,pred_volume_casa,pred_volume_ospite
2026-08-28 18:45:00+00:00,AC Milan,Venezia,2,0,2.0417,0.625,19.0,19.0,2.0417,0.625
2026-08-29 16:30:00+00:00,Fiorentina,Frosinone,0,3,0.625,1.375,9.0,11.0,0.625,1.375
2026-08-29 16:30:00+00:00,Monza,Udinese,2,3,1.0417,2.2917,7.0,16.0,1.0417,2.2917
2026-08-29 16:30:00+00:00,Sassuolo,Torino,2,1,1.4583,1.4583,22.0,8.0,-1.8598439393939388,2.933115151515152
2026-08-29 18:45:00+00:00,Juventus,Parma,2,0,1.0417,0.375,20.0,12.0,1.2534386083986515,0.036291329859438726
2026-08-30 16:30:00+00:00,Napoli,Como,1,2,1.4583,0.625,13.0,19.0,1.8008238610478358,0.6420731536985977
2026-08-30 18:45:00+00:00,Cagliari,Inter Milan,0,1,1.0417,1.375,14.0,13.0,1.2792557485149594,1.9102017684244945
2026-08-30 18:45:00+00:00,Lazio,Genoa,1,0,1.4583,0.375,10.0,11.0,1.401211772058319,1.3041370431906345
2026-08-31 16:30:00+00:00,Lecce,Roma,0,4,0.875,1.375,12.0,16.0,0.7550148345431256,1.8565872827711356
2026-08-31 18:45:00+00:00,Atalanta,Bologna,1,0,1.4583,0.625,14.0,13.0,1.3573146249175236,1.0267706594970174
2026-09-04 18:45:00+00:00,Genoa,Como,1,4,0.3889,1.5,9.5,20.0,-0.050828009714583844,2.8019283970936533
2026-09-05 13:00:00+00:00,Fiorentina,Torino,1,2,0.6111,2.2037,17.0,9.0,0.5370715472261404,1.7275213705646326
2026-09-05 16:00:00+00:00,Inter Milan,Napoli,3,2,1.6852,0.8333,21.5,13.0,1.9219349237626708,0.2788305714346433
2026-09-05 18:45:00+00:00,Roma,Atalanta,2,1,1.7593,0.5,15.5,10.0,1.8265638264690267,0.5094182040123599
2026-09-06 13:00:00+00:00,Frosinone,Venezia,3,2,1.8333,0.2778,11.5,14.0,1.7195302589759653,1.1041632820302858
2026-09-06 13:00:00+00:00,Parma,Monza,1,1,0.9444,1.5,8.0,10.5,0.7333354852516637,2.363495809212198
2026-09-06 16:00:00+00:00,Bologna,Sassuolo,2,2,0.5,1.1667,14.5,20.5,0.6999894620805281,2.6145760062674035
2026-09-06 18:45:00+00:00,Juventus,AC Milan,1,1,0.8333,0.6111,20.5,17.5,1.5645591516963449,1.1643846646435687
2026-09-07 16:30:00+00:00,Cagliari,Lecce,1,0,1.0185,0.6481,12.0,9.5,0.9863831398867757,0.84953718270112
2026-09-07 18:45:00+00:00,Udinese,Lazio,1,2,0.6111,1.1667,14.0,12.5,0.766848309116131,1.5048276608322122
