data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,gol_casa_previsti,gol_ospite_previsti
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,2.9270192415102585,1.4204938814288277
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,2.0921324429760375,2.3699152466586533
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,0.05060136908391333,3.8185270704108096
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,2.0746608237743978,-0.003202595388650753
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,1.8219178097971604,0.7114888817580343
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,2.1379102385826414,0.8045492265407661
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,1.2437478820599575,1.6893594942749055
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,1.6615918640088947,1.7261169087930903
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,0.782562677915634,1.3692362319068212
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,0.521943927404523,1.399135924209766
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,0.3064578276800206,2.5095723974751
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,0.20775100745548591,2.0083746669942437
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,2.006345116607923,0.8399790907139214
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,4.046197206950453,1.7508846958493403
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,1.9899617651437866,0.621831303711945
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,1.0839170066430137,2.4627015334148186
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,0.8350651453764242,3.0135151890758567
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,0.8853199885200012,0.32811097589327975
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,1.4215013695886776,0.2784338662012763
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,0.5709935253108838,1.7037218964030634
