data,casa,ospite,gol_casa_reali,gol_ospite_reali,possesso_casa,possesso_ospite,gol_casa_attesi,gol_ospite_attesi
2026-08-30T16:30:00+00:00,Napoli,Como,1,2,55.0,59.0,1.8816,0.461
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0,1,53.0,71.0,1.7943,1.1313
2026-08-30T18:45:00+00:00,Lazio,Genoa,1,0,41.0,45.0,1.3,2.1295
2026-08-31T16:30:00+00:00,Lecce,Roma,0,4,29.0,60.0,0.5689,2.784
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,56.0,59.0,1.2891,0.6198
2026-09-04T18:45:00+00:00,Genoa,Como,1,4,49.5,58.5,1.0258,1.2132
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,50.0,47.5,1.409,1.1064
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,68.0,48.5,1.9241,0.0
2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,62.5,49.0,2.0474,0.7542
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,39.5,56.5,0.6386,2.327
2026-09-06T13:00:00+00:00,Parma,Monza,1,1,44.5,40.0,1.6212,1.9249
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,58.5,45.0,1.8837,0.9511
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,59.5,58.5,1.5918,1.0954
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,44.0,32.0,1.7361,1.8846
2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,45.0,43.5,1.3687,1.6384
