data,casa,ospite,gol_casa_reali,gol_ospite_reali,tiri_casa,tiri_ospite,gol_casa_attesi,gol_ospite_attesi
2026-08-30T16:30:00+00:00,Napoli,Como,1,2,4.0,6.0,1.9657,0.4628
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0,1,5.0,5.0,1.6992,0.8209
2026-08-30T18:45:00+00:00,Lazio,Genoa,1,0,3.0,2.0,1.1531,2.9158
2026-08-31T16:30:00+00:00,Lecce,Roma,0,4,5.0,8.0,1.2883,0.6496
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,7.0,5.0,1.1056,1.6207
2026-09-04T18:45:00+00:00,Genoa,Como,1,4,1.5,6.0,0.7776,2.3041
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,4.0,2.5,1.2778,1.5296
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,6.0,3.0,1.2272,0.961
2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,8.0,4.5,1.4641,0.6721
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,4.0,4.5,1.1375,1.9417
2026-09-06T13:00:00+00:00,Parma,Monza,1,1,2.5,4.0,1.1973,2.3177
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,4.0,7.5,0.9655,2.2759
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,5.5,4.5,1.4918,1.4584
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,2.5,4.0,1.2102,2.0952
2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,4.0,2.5,1.4163,1.3428
