data,casa,ospite,gol_casa_reali,gol_ospite_reali,xg_casa_attesi,xg_ospite_attesi,storico_casa,storico_ospite
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2,0,2.133,2.0558,1,1
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0,3,1.2291,1.6456,1,1
2026-08-29T16:30:00+00:00,Monza,Udinese,2,3,1.7635,1.8341,1,1
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2,1,2.268,1.0608,1,1
2026-08-29T18:45:00+00:00,Juventus,Parma,2,0,1.8952,0.7885,1,1
2026-08-30T16:30:00+00:00,Napoli,Como,1,2,1.6049,1.2967,1,1
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0,1,1.2512,1.2819,1,1
2026-08-30T18:45:00+00:00,Lazio,Genoa,1,0,1.0241,1.1867,1,1
2026-08-31T16:30:00+00:00,Lecce,Roma,0,4,1.1784,4.1272,1,1
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1,0,0.9317,2.492,1,1
2026-09-04T18:45:00+00:00,Genoa,Como,1,4,0.9458,1.7633,2,2
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1,2,1.2747,2.2141,2,2
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3,2,1.612,0.8287,2,2
2026-09-05T18:45:00+00:00,Roma,Atalanta,2,1,3.7959,0.5778,2,2
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3,2,2.0317,2.2968,2,2
2026-09-06T13:00:00+00:00,Parma,Monza,1,1,0.824,1.5674,2,2
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2,2,1.3938,1.0545,2,2
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1,1,1.3904,0.9857,2,2
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1,0,2.0168,2.4844,2,2
2026-09-07T18:45:00+00:00,Udinese,Lazio,1,2,1.4779,1.8924,2,2
