match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29844,2025-08-23 16:30:00,Genoa,Lecce,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,5,2,False
29845,2025-08-23 16:30:00,Sassuolo,Napoli,0.0,2.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,7,6,False
29846,2025-08-23 18:45:00,Milan,Cremonese,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,4,0,False
29847,2025-08-23 18:45:00,Roma,Bologna,1.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,6,4,False
29848,2025-08-24 16:30:00,Cagliari,Fiorentina,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,2,2,False
29849,2025-08-24 16:30:00,Como,Lazio,2.0,0.0,0.8000000000000002,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7,3,2,False
29850,2025-08-24 18:45:00,Atalanta,Pisa,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,7,4,False
29851,2025-08-24 18:45:00,Juventus,Parma,2.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,11,4,4,False
29852,2025-08-25 16:30:00,Udinese,Verona,1.0,1.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,2,7,False
29853,2025-08-25 18:45:00,Inter,Torino,5.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,8,4,False
29854,2025-08-29 16:30:00,Cremonese,Sassuolo,3.0,2.0,1.525,0.5125,4.0,0.0,16.0,8.0,3.0,4.0,7.0,6.0,5.5,9.5,3.0,6.0,7,4,6,3,True
29855,2025-08-29 18:45:00,Lecce,Milan,0.0,2.0,0.5909090909090909,0.5454545454545454,5.0,2.0,2.0,3.0,16.0,8.0,4.0,0.0,4.5,9.0,1.0,5.5,5,2,11,3,True
29857,2025-08-30 16:30:00,Parma,Atalanta,1.0,1.0,0.5833333333333334,1.4702380952380953,4.0,4.0,14.0,11.0,14.0,8.0,7.0,4.0,5.5,14.0,4.0,9.5,3,4,8,3,True
29856,2025-08-30 16:30:00,Bologna,Como,1.0,0.0,0.5769230769230769,1.4717948717948717,6.0,4.0,7.0,7.0,12.0,7.0,3.0,2.0,4.5,9.5,3.0,7.0,10,5,8,5,True
29858,2025-08-30 18:45:00,Pisa,Roma,0.0,1.0,1.0535714285714286,1.0025921658986174,7.0,4.0,14.0,8.0,7.0,7.0,6.0,4.0,6.5,10.5,4.0,7.5,2,5,5,5,True
29859,2025-08-30 18:45:00,Napoli,Cagliari,1.0,0.0,1.5333333333333332,0.5166666666666666,7.0,6.0,3.0,4.0,10.0,4.0,2.0,2.0,4.5,6.5,4.0,4.0,15,5,3,7,True
29860,2025-08-31 16:30:00,Genoa,Juventus,0.0,1.0,0.515625,0.7578125,2.0,3.0,5.0,2.0,14.0,11.0,4.0,4.0,3.0,9.5,3.5,6.5,6,4,8,5,True
29861,2025-08-31 16:30:00,Torino,Fiorentina,0.0,0.0,0.5,3.0,8.0,4.0,14.0,6.0,2.0,2.0,10.0,4.0,9.0,8.0,4.0,4.0,6,1,7,9,True
29862,2025-08-31 18:45:00,Inter,Udinese,1.0,2.0,2.9722222222222223,0.4861111111111111,14.0,6.0,8.0,4.0,8.0,6.0,2.0,7.0,8.0,8.0,6.5,5.0,12,4,4,6,True
29863,2025-08-31 18:45:00,Lazio,Verona,4.0,0.0,0.4868421052631579,1.5069345661450926,3.0,2.0,12.0,7.0,2.0,7.0,8.0,6.0,5.5,7.0,4.0,7.0,13,9,8,4,True
29864,2025-09-13 13:00:00,Cagliari,Parma,2.0,0.0,0.7625,0.7532012195121951,6.5,5.5,8.5,3.5,3.5,4.0,11.0,7.0,8.75,6.0,6.25,3.75,7,5,11,5,True
29865,2025-09-13 16:00:00,Juventus,Inter,4.0,3.0,1.2619047619047619,1.005952380952381,11.0,8.0,5.0,4.0,13.0,5.0,6.0,5.0,8.5,9.0,6.5,4.5,5,7,7,11,True
29866,2025-09-13 18:45:00,Fiorentina,Napoli,1.0,3.0,0.8181818181818182,0.9490909090909093,4.5,5.5,8.0,2.5,11.0,5.5,3.0,5.5,3.75,9.5,5.5,4.0,12,6,11,3,True
29867,2025-09-14 10:30:00,Roma,Torino,0.0,1.0,1.0869565217391304,0.29347826086956524,6.0,6.0,4.0,4.5,7.0,2.5,10.5,7.5,8.25,5.5,6.75,3.5,11,10,4,4,True
29869,2025-09-14 13:00:00,Atalanta,Lecce,4.0,1.0,1.0729166666666665,0.5364583333333333,11.0,5.5,5.0,4.0,5.0,2.0,6.5,3.0,8.75,5.0,4.25,3.0,12,7,4,8,True
29868,2025-09-14 13:00:00,Pisa,Udinese,0.0,1.0,0.8500000000000001,1.2375000000000003,4.5,4.5,9.5,6.5,6.0,6.0,7.0,5.5,5.75,7.75,5.0,6.25,9,3,7,6,True
29870,2025-09-14 16:00:00,Sassuolo,Lazio,1.0,0.0,1.0865384615384617,2.483843001261034,4.5,3.5,7.0,5.0,8.0,5.5,10.0,5.5,7.25,7.5,4.5,5.25,8,2,10,3,True
29871,2025-09-14 18:45:00,Milan,Bologna,1.0,0.0,1.324074074074074,0.7709080047789724,13.5,5.5,4.5,1.0,8.0,4.5,7.5,6.0,10.5,6.25,5.75,2.75,10,4,2,3,True
29872,2025-09-15 16:30:00,Verona,Cremonese,0.0,0.0,0.8125,2.920138888888889,5.0,5.5,10.5,7.5,5.5,2.0,11.0,5.5,8.0,8.0,5.5,4.75,12,8,2,4,True
29873,2025-09-15 18:45:00,Como,Genoa,1.0,1.0,1.043103448275862,0.39655172413793105,10.0,6.0,6.5,3.5,4.0,3.5,6.5,3.5,8.25,5.25,4.75,3.5,6,7,9,3,True
29882,2025-09-19 18:45:00,Lecce,Cagliari,1.0,2.0,0.7083333333333333,1.4823717948717947,4.666666666666667,4.0,8.333333333333334,4.333333333333333,6.666666666666667,5.333333333333333,9.333333333333334,4.0,7.0,7.5,4.0,4.833333333333333,8,3,13,2,True
