data,casa,ospite,gol_casa,gol_ospite,casa_gol_fatti_totale_pre,casa_gol_fatti_contesto_pre,ospite_gol_fatti_totale_pre,ospite_gol_fatti_contesto_pre,casa_gol_subiti_totale_pre,casa_gol_subiti_contesto_pre,ospite_gol_subiti_totale_pre,ospite_gol_subiti_contesto_pre,casa_xg_fatti_totale_pre,casa_xg_fatti_contesto_pre,ospite_xg_fatti_totale_pre,ospite_xg_fatti_contesto_pre,casa_xg_subiti_totale_pre,casa_xg_subiti_contesto_pre,ospite_xg_subiti_totale_pre,ospite_xg_subiti_contesto_pre,casa_corner_totale_pre,casa_corner_contesto_pre,ospite_corner_totale_pre,ospite_corner_contesto_pre,casa_ammonizioni_totale_pre,casa_ammonizioni_contesto_pre,ospite_ammonizioni_totale_pre,ospite_ammonizioni_contesto_pre,casa_possesso_totale_pre,casa_possesso_contesto_pre,ospite_possesso_totale_pre,ospite_possesso_contesto_pre,casa_tiri_in_porta_totale_pre,casa_tiri_in_porta_contesto_pre,ospite_tiri_in_porta_totale_pre,ospite_tiri_in_porta_contesto_pre,casa_tiri_fuori_totale_pre,casa_tiri_fuori_contesto_pre,ospite_tiri_fuori_totale_pre,ospite_tiri_fuori_contesto_pre,casa_attacchi_totale_pre,casa_attacchi_contesto_pre,ospite_attacchi_totale_pre,ospite_attacchi_contesto_pre,casa_attacchi_pericolosi_totale_pre,casa_attacchi_pericolosi_contesto_pre,ospite_attacchi_pericolosi_totale_pre,ospite_attacchi_pericolosi_contesto_pre,casa_partite_totale_pre,casa_partite_contesto_pre,ospite_partite_totale_pre,ospite_partite_contesto_pre
2026-08-22T16:30:00+00:00,Inter Milan,Monza,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-22T16:30:00+00:00,Udinese,Como,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-22T18:45:00+00:00,Genoa,Napoli,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-22T18:45:00+00:00,Parma,Cagliari,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-23T16:30:00+00:00,Frosinone,Juventus,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-23T16:30:00+00:00,Venezia,Lecce,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-23T18:45:00+00:00,Atalanta,Sassuolo,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-23T18:45:00+00:00,Torino,AC Milan,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-24T16:30:00+00:00,Bologna,Lazio,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-24T18:45:00+00:00,Roma,Fiorentina,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2,0,2.0,,0.0,,1.0,,2.0,,1.74,,3.19,,1.13,,2.45,,4.0,,5.0,,1.0,,1.0,,59.0,,71.0,,4.0,,7.0,,15.0,,12.0,,96.0,,145.0,,51.0,,61.0,,1,0,1,0
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0,3,0.0,,0.0,,4.0,,1.0,,0.29,,0.37,,3.78,,2.62,,3.0,,3.0,,2.0,,2.0,,40.0,,39.0,,4.0,,2.0,,5.0,,9.0,,95.0,,79.0,,36.0,,34.0,,1,0,1,0
2026-08-29T16:30:00+00:00,Monza,Udinese,2,3,1.0,,1.0,,4.0,,1.0,,1.22,,2.12,,1.54,,2.39,,3.0,,1.0,,2.0,,3.0,,29.0,,41.0,,3.0,,3.0,,4.0,,13.0,,73.0,,97.0,,26.0,,42.0,,1,0,1,0
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2,1,1.0,,1.0,,2.0,,2.0,,2.7,,1.13,,0.92,,1.74,,4.0,,2.0,,0.0,,0.0,,44.0,,41.0,,8.0,,1.0,,14.0,,7.0,,87.0,,80.0,,45.0,,33.0,,1,0,1,0
2026-08-29T18:45:00+00:00,Juventus,Parma,2,0,1.0,,0.0,,0.0,,1.0,,2.62,,1.03,,0.37,,1.26,,12.0,,3.0,,2.0,,0.0,,61.0,,47.0,,5.0,,2.0,,15.0,,10.0,,89.0,,85.0,,60.0,,33.0,,1,0,1,0
2026-08-30T16:30:00+00:00,Napoli,Como,1,2,2.0,,1.0,1.0,0.0,,1.0,1.0,1.16,,2.39,2.39,0.5,,2.12,2.12,5.0,,10.0,10.0,1.0,,0.0,0.0,55.0,,59.0,59.0,4.0,,6.0,6.0,9.0,,13.0,13.0,93.0,,97.0,97.0,63.0,,41.0,41.0,1,0,1,1
