data,casa,ospite,gol_casa,gol_ospite,base_casa,base_ospite,volume_tiri_diff,pred_casa_walkforward,pred_ospite_walkforward
2026-08-28T18:45:00+00:00,AC Milan,Venezia,2.0,0.0,2.0417,0.625,0.0,2.0417,0.625
2026-08-29T16:30:00+00:00,Fiorentina,Frosinone,0.0,3.0,0.625,1.375,-2.0,0.625,1.375
2026-08-29T16:30:00+00:00,Monza,Udinese,2.0,3.0,1.0417,2.2917,-9.0,1.0417,2.2917
2026-08-29T16:30:00+00:00,Sassuolo,Torino,2.0,1.0,1.4583,1.4583,14.0,-0.938466417910448,0.6984089552238807
2026-08-29T18:45:00+00:00,Juventus,Parma,2.0,0.0,1.0417,0.375,8.0,1.2392085201793723,0.2459093273542603
2026-08-30T16:30:00+00:00,Napoli,Como,1.0,2.0,1.4583,0.625,-6.0,1.7160631546134661,1.3359114089775561
2026-08-30T18:45:00+00:00,Cagliari,Inter Milan,0.0,1.0,1.0417,1.375,1.0,1.2681246351172049,1.737100442282176
2026-08-30T18:45:00+00:00,Lazio,Genoa,1.0,0.0,1.4583,0.375,-1.0,1.453961106899166,0.7871139878695982
2026-08-31T16:30:00+00:00,Lecce,Roma,0.0,4.0,0.875,1.375,-4.0,0.7306333004277723,1.9061823955248438
2026-08-31T18:45:00+00:00,Atalanta,Bologna,1.0,0.0,1.4583,0.625,1.0,1.372990417827298,0.9980982729805014
2026-09-04T18:45:00+00:00,Genoa,Como,1.0,4.0,0.3889,1.5,-10.5,-0.11946966966966976,2.8973977227227232
2026-09-05T13:00:00+00:00,Fiorentina,Torino,1.0,2.0,0.6111,2.2037,8.0,0.6344487771861745,1.703608067863911
2026-09-05T16:00:00+00:00,Inter Milan,Napoli,3.0,2.0,1.6852,0.8333,8.5,1.78867503900156,0.333771037260095
2026-09-05T18:45:00+00:00,Roma,Atalanta,2.0,1.0,1.7593,0.5,5.5,1.9776920838079253,0.5737569180504767
2026-09-06T13:00:00+00:00,Frosinone,Venezia,3.0,2.0,1.8333,0.2778,-2.5,1.7977278404046382,1.1283417067986763
2026-09-06T13:00:00+00:00,Parma,Monza,1.0,1.0,0.9444,1.5,-2.5,1.0076020273607271,2.422153894211774
2026-09-06T16:00:00+00:00,Bologna,Sassuolo,2.0,2.0,0.5,1.1667,-6.0,0.4705567190744586,2.294208616479931
2026-09-06T18:45:00+00:00,Juventus,AC Milan,1.0,1.0,0.8333,0.6111,3.0,1.0935686216830318,0.9227316359652682
2026-09-07T16:30:00+00:00,Cagliari,Lecce,1.0,0.0,1.0185,0.6481,2.5,1.2661474452554744,1.0081609934590956
2026-09-07T18:45:00+00:00,Udinese,Lazio,1.0,2.0,0.6111,1.1667,1.5,0.830938563421513,1.5573739031094926
